t,i,e,pref
1617734551.6819,I3,1.2745,I3=1.274539
1617734551.7676,I3,1.2972,I3=1.297190
1617734551.8819,I3,1.2972,I3=1.297190
1617734551.9814,I3,1.3059,I3=1.305936
1617734552.0819,I3,1.3261,I3=1.326050
1617734552.1811,I3,1.3261,I3=1.326050
1617734552.2813,I3,1.3360,I3=1.336022
1617734552.3826,I3,1.3180,I3=1.317978
1617734552.4814,I3,1.2743,I3=1.274318
1617734552.6318,I3,1.2457,I3=1.245657_I2=0.673915
1617734552.8143,I3,1.2460,I3=1.246027_I2=0.471187
1617734552.8831,I3,1.2783,I3=1.278291_I2=0.325050
1617734552.9661,I3,1.2783,I3=1.278291_I2=0.325050
1617734553.0316,I3,1.3609,I3=1.360912_I2=0.843257
1617734553.1686,I3,1.3609,I3=1.360912_I2=0.843257
1617734553.2853,I3,1.3776,I3=1.377649_I2=1.078424
1617734553.3823,I3,1.3776,I3=1.377649_I2=1.078424
1617734553.4480,I3,1.4091,I3=1.409096_I2=1.135267
1617734553.5316,I3,1.4091,I3=1.409096_I2=1.135267
1617734553.6985,I3,1.4638,I3=1.463783_I2=1.093994
1617734553.7679,I3,1.5581,I3=1.558148_I2=0.693259
1617734553.8820,I3,1.5581,I3=1.558148_I2=0.693259
1617734553.9486,I3,1.5862,I3=1.586191_I2=0.689897
1617734554.0821,I3,1.5862,I3=1.586191_I2=0.689897
1617734554.1486,I3,1.5937,I3=1.593713_I2=0.717337
1617734554.2489,I3,1.5771,I3=1.577059_I2=0.813194
1617734554.3482,I3,1.5502,I3=1.550243_I2=0.903688
1617734554.4817,I3,1.5654,I3=1.565413_I2=0.899893
1617734554.5483,I3,1.6934,I3=1.693437_I1=0.903692
1617734554.6489,I3,1.6934,I3=1.693437_I1=0.903692
1617734554.7496,I3,1.7958,I3=1.795817_I1=0.848078
1617734554.8483,I3,1.8821,I3=1.882120_I1=0.820738
1617734554.9313,I3,1.9807,I3=1.980730_I2=1.169810
1617734555.0478,I3,2.0454,I3=2.045434_I2=1.360183
1617734555.1318,I3,2.0912,I3=2.091181_I2=1.429014
1617734555.2318,I3,2.1339,I3=2.133887_I2=1.427702
1617734555.3481,I3,2.1783,I3=2.178269_I2=1.373511
1617734555.4321,I3,2.2158,I3=2.215841_I2=1.156612
1617734555.5481,I3,2.2545,I3=2.254463_I1=1.037669
1617734555.6686,I3,2.3311,I3=2.331126_I1=1.193305
1617734555.8155,I3,2.4429,I3=2.442856_I1=1.254670
1617734555.8983,I3,2.8005,I3=2.800543_I1=1.207523
1617734556.0149,I3,2.8005,I3=2.800543_I1=1.207523
1617734556.0830,I3,3.0559,I3=3.055875_I2=1.106260
1617734556.1831,I3,3.1509,I3=3.150931_I2=1.329248
1617734556.3152,I3,3.2625,I3=3.262508_I2=1.446731
1617734556.5320,I3,3.2625,I3=3.262508_I2=1.446731
1617734556.6482,I3,3.6762,I3=3.676249_I2=1.234743
1617734556.8160,I3,3.9257,I3=3.925679_I2=0.811437
1617734557.4153,I3,4.2214,I3=4.221430_I1=0.641131
1617734557.8492,I3,5.5666,I3=5.566597_I1=1.105123
1617734558.3155,I1,1.3711,I2=2.302390_I1=1.371088
1617734558.5318,I1,1.4341,I2=2.166887_I1=1.434125
1617734558.6159,I2,1.5717,I1=1.723574_I2=1.571669
1617734558.7151,I1,1.8199,I1=1.819895_I2=-0.022422
1617734558.7991,I2,-0.7042,I1=1.569197_I2=-0.704192
1617734558.8828,I2,-0.1230,I1=1.266677_I2=-0.123023
1617734558.9819,I2,1.1731,I2=1.173140_I1=0.948369
1617734559.0482,I2,1.6922,I2=1.692174_I1=0.346834
1617734559.1151,I2,2.2357,I2=2.235732_I1=0.844968
1617734559.1983,I1,1.1863,I2=2.384096_I1=1.186321
1617734559.3149,I1,1.4607,I2=2.541677_I1=1.460691
1617734559.4146,I1,1.5334,I2=2.670110_I1=1.533425
1617734559.5144,I1,1.5334,I2=2.670110_I1=1.533425
1617734559.6242,I2,2.8992,I2=2.899176_I1=1.435907
1617734559.7322,I2,2.8992,I2=2.899176_I1=1.435907
1617734559.8320,I2,3.0161,I2=3.016050_I1=1.683259
1617734559.9141,I2,3.1483,I2=3.148266_I1=1.527301
1617734560.0484,I2,3.2909,I2=3.290930_I1=1.609438
1617734560.3823,I1,1.6609,I2=3.542508_I1=1.660862
1617734560.9141,I1,1.8140,I2=4.264518_I1=1.814050
1617734562.4479,I1,2.4038,I2=6.528310_I1=2.403837
